Transaction Date,Amount,Reference,Balance
21/09/2026,4455748,UTR20260000000002,128610149
11/10/2026,4149710,UTR20260000000003,199414867
13/09/2026,5188784,UTR20260000000004,85454614
03/09/2026,3460353,UTR20260000000005,29573739
13/10/2026,975662,UTR20260000000006,214891477
28/08/2026,795507,UTR20260000000007,14532265
21/09/2026,3240004,UTR20260000000008,131850153
28/09/2026,3848233,UTR20260000000009,164282159
11/09/2026,2014690,UTR20260000000010,77950078
15/09/2026,2579375,UTR20260000000011,102077609
27/09/2026,2407884,UTR20260000000012,160433926
01/10/2026,1179452,UTR20260000000013,171385786
26/10/2026,1590136,UTR20260000000014,227813897
15/09/2026,1835384,UTR20260000000015,103912993
10/10/2026,2167862,UTR20260000000016,191987316
25/09/2026,4525491,UTR20260000000017,149289294
21/09/2026,5970391,UTR20260000000018,137820544
26/08/2026,334493,UTR20260000000019,10275459
27/08/2026,3424949,UTR20260000000020,13712908
13/09/2026,2046586,UTR20260000000021,87501200
02/10/2026,2068051,UTR20260000000022,174503719
01/09/2026,2750954,UTR20260000000023,20600877
25/09/2026,1267375,UTR20260000000024,150556669
04/10/2026,2735116,UTR20260000000025,180526197
18/09/2026,3586550,UTR20260000000026,115596651
14/09/2026,1251012,UTR20260000000027,88752212
09/09/2026,7117001,UTR20260000000028,55561540
09/09/2026,2990014,UTR20260000000029,58551554
14/09/2026,2632257,UTR20260000000030,91384469
09/10/2026,1904808,UTR20260000000031,189819454
14/09/2026,663769,UTR20260000000032,92048238
01/10/2026,329225,UTR20260000000033,171715011
11/10/2026,4997996,UTR20260000000034,204412863
01/09/2026,5512509,UTR20260000000035,26113386
22/08/2026,5489922,UTR20260000000036,9922216
17/09/2026,3277100,UTR20260000000037,111041773
13/10/2026,4251629,UTR20260000000038,219143106
29/09/2026,3327639,UTR20260000000039,167609798
24/09/2026,3215515,UTR20260000000040,141814153
09/09/2026,6193093,UTR20260000000041,64744647
16/09/2026,3851680,UTR20260000000042,107764673
03/09/2026,2587349,UTR20260000000043,32161088
12/10/2026,4959384,UTR20260000000044,209372247
20/09/2026,2740027,UTR20260000000045,121363103
09/09/2026,1812793,UTR20260000000046,66557440
09/09/2026,2337880,UTR20260000000047,68895320
10/10/2026,3277841,UTR20260000000048,195265157
18/09/2026,3026425,UTR20260000000049,118623076
17/09/2026,968328,UTR20260000000050,112010101
13/10/2026,5022968,UTR20260000000051,224166074
30/08/2026,3317808,UTR20260000000052,17849923
10/09/2026,3571274,UTR20260000000053,72466594
21/09/2026,778094,UTR20260000000054,138598638
12/09/2026,1435328,UTR20260000000055,80265830
08/09/2026,1073525,UTR20260000000056,42494707
20/09/2026,2791298,UTR20260000000057,124154401
24/09/2026,1730808,UTR20260000000058,143544961
18/08/2026,1932294,UTR20260000000059,4432294
03/10/2026,3287362,UTR20260000000060,177791081
05/10/2026,3580457,UTR20260000000061,184106654
25/09/2026,5797324,UTR20260000000062,156353993
24/09/2026,1218842,UTR20260000000063,144763803
19/10/2026,2057687,UTR20260000000064,226223761
11/09/2026,880424,UTR20260000000065,78830502
10/09/2026,3468794,UTR20260000000066,75935388
25/09/2026,1672049,UTR20260000000067,158026042
08/10/2026,3050622,UTR20260000000068,187914646
08/09/2026,3963317,UTR20260000000069,46458024
08/09/2026,1986515,UTR20260000000070,48444539
30/09/2026,2596536,UTR20260000000071,170206334
01/10/2026,720657,UTR20260000000072,172435668
03/09/2026,2700567,UTR20260000000073,34861655
14/09/2026,7449996,UTR20260000000074,99498234
12/10/2026,4543568,UTR20260000000075,213915815
06/10/2026,757370,UTR20260000000076,184864024
07/09/2026,6559527,UTR20260000000077,41421182
25/08/2026,18750,UNKNOWN1,9940966
26/08/2026,12500,UNKNOWN2,10287959
27/08/2026,24000,UNKNOWN3,13736908
27/08/2026,-150,BANKFEE1,13736758
28/08/2026,-150,BANKFEE2,14532115
