bank_txn_id,transaction_date,value_date,description,credit,debit,balance,reference
BANK-000001,2026-09-21,2026-09-21,NEFT RZP UTR20260000000002,4455748,0,128610149,UTR20260000000002
BANK-000002,2026-10-11,2026-10-11,NEFT RZP UTR20260000000003,4149710,0,199414867,UTR20260000000003
BANK-000003,2026-09-13,2026-09-13,NEFT RZP UTR20260000000004,5188784,0,85454614,UTR20260000000004
BANK-000004,2026-09-03,2026-09-03,NEFT RZP UTR20260000000005,3460353,0,29573739,UTR20260000000005
BANK-000005,2026-10-13,2026-10-13,NEFT RZP UTR20260000000006,975662,0,214891477,UTR20260000000006
BANK-000006,2026-08-28,2026-08-28,NEFT RZP UTR20260000000007,795507,0,14532265,UTR20260000000007
BANK-000007,2026-09-21,2026-09-21,NEFT/RAZORPAY UTR20260000000008,3240004,0,131850153,UTR20260000000008
BANK-000008,2026-09-28,2026-09-28,NEFT RZP UTR20260000000009,3848233,0,164282159,UTR20260000000009
BANK-000009,2026-09-11,2026-09-11,NEFT RZP UTR20260000000010,2014690,0,77950078,UTR20260000000010
BANK-000010,2026-09-15,2026-09-15,NEFT RZP UTR20260000000011,2579375,0,102077609,UTR20260000000011
BANK-000011,2026-09-27,2026-09-27,NEFT RZP UTR20260000000012,2407884,0,160433926,UTR20260000000012
BANK-000012,2026-10-01,2026-10-01,NEFT RZP UTR20260000000013,1179452,0,171385786,UTR20260000000013
BANK-000013,2026-10-26,2026-10-26,NEFT RZP UTR20260000000014,1590136,0,227813897,UTR20260000000014
BANK-000014,2026-09-15,2026-09-15,NEFT RZP UTR20260000000015,1835384,0,103912993,UTR20260000000015
BANK-000015,2026-10-10,2026-10-10,NEFT RZP UTR20260000000016,2167862,0,191987316,UTR20260000000016
BANK-000016,2026-09-25,2026-09-25,NEFT RZP UTR20260000000017,4525491,0,149289294,UTR20260000000017
BANK-000017,2026-09-21,2026-09-21,NEFT RZP UTR20260000000018,5970391,0,137820544,UTR20260000000018
BANK-000018,2026-08-26,2026-08-26,NEFT RZP UTR20260000000019,334493,0,10275459,UTR20260000000019
BANK-000019,2026-08-27,2026-08-27,NEFT RZP UTR20260000000020,3424949,0,13712908,UTR20260000000020
BANK-000020,2026-09-13,2026-09-13,NEFT RZP UTR20260000000021,2046586,0,87501200,UTR20260000000021
BANK-000021,2026-10-02,2026-10-02,NEFT RZP UTR20260000000022,2068051,0,174503719,UTR20260000000022
BANK-000022,2026-09-01,2026-09-01,NEFT/RAZORPAY UTR20260000000023,2750954,0,20600877,UTR20260000000023
BANK-000023,2026-09-25,2026-09-25,NEFT RZP UTR20260000000024,1267375,0,150556669,UTR20260000000024
BANK-000024,2026-10-04,2026-10-04,NEFT RZP UTR20260000000025,2735116,0,180526197,UTR20260000000025
BANK-000025,2026-09-18,2026-09-18,NEFT RZP UTR20260000000026,3586550,0,115596651,UTR20260000000026
BANK-000026,2026-09-14,2026-09-14,NEFT/RAZORPAY UTR20260000000027,1251012,0,88752212,UTR20260000000027
BANK-000027,2026-09-09,2026-09-09,NEFT RZP UTR20260000000028,7117001,0,55561540,UTR20260000000028
BANK-000028,2026-09-09,2026-09-09,NEFT RZP UTR20260000000029,2990014,0,58551554,UTR20260000000029
BANK-000029,2026-09-14,2026-09-14,NEFT RZP UTR20260000000030,2632257,0,91384469,UTR20260000000030
BANK-000030,2026-10-09,2026-10-09,NEFT RZP UTR20260000000031,1904808,0,189819454,UTR20260000000031
BANK-000031,2026-09-14,2026-09-14,NEFT RZP UTR20260000000032,663769,0,92048238,UTR20260000000032
BANK-000032,2026-10-01,2026-10-01,NEFT RZP UTR20260000000033,329225,0,171715011,UTR20260000000033
BANK-000033,2026-10-11,2026-10-11,NEFT RZP UTR20260000000034,4997996,0,204412863,UTR20260000000034
BANK-000034,2026-09-01,2026-09-01,NEFT/RAZORPAY UTR20260000000035,5512509,0,26113386,UTR20260000000035
BANK-000035,2026-08-22,2026-08-22,NEFT RZP UTR20260000000036,5489922,0,9922216,UTR20260000000036
BANK-000036,2026-09-17,2026-09-17,NEFT RZP UTR20260000000037,3277100,0,111041773,UTR20260000000037
BANK-000037,2026-10-13,2026-10-13,NEFT RZP UTR20260000000038,4251629,0,219143106,UTR20260000000038
BANK-000038,2026-09-29,2026-09-29,NEFT RZP UTR20260000000039,3327639,0,167609798,UTR20260000000039
BANK-000039,2026-09-24,2026-09-24,NEFT RZP UTR20260000000040,3215515,0,141814153,UTR20260000000040
BANK-000040,2026-09-09,2026-09-09,NEFT RZP UTR20260000000041,6193093,0,64744647,UTR20260000000041
BANK-000041,2026-09-16,2026-09-16,NEFT RZP UTR20260000000042,3851680,0,107764673,UTR20260000000042
BANK-000042,2026-09-03,2026-09-03,NEFT RZP UTR20260000000043,2587349,0,32161088,UTR20260000000043
BANK-000043,2026-10-12,2026-10-12,NEFT RZP UTR20260000000044,4959384,0,209372247,UTR20260000000044
BANK-000044,2026-09-20,2026-09-20,NEFT RZP UTR20260000000045,2740027,0,121363103,UTR20260000000045
BANK-000045,2026-09-09,2026-09-09,NEFT RZP UTR20260000000046,1812793,0,66557440,UTR20260000000046
BANK-000046,2026-09-09,2026-09-09,NEFT RZP UTR20260000000047,2337880,0,68895320,UTR20260000000047
BANK-000047,2026-10-10,2026-10-10,NEFT RZP UTR20260000000048,3277841,0,195265157,UTR20260000000048
BANK-000048,2026-09-18,2026-09-18,NEFT RZP UTR20260000000049,3026425,0,118623076,UTR20260000000049
BANK-000049,2026-09-17,2026-09-17,NEFT RZP UTR20260000000050,968328,0,112010101,UTR20260000000050
BANK-000050,2026-10-13,2026-10-13,NEFT RZP UTR20260000000051,5022968,0,224166074,UTR20260000000051
BANK-000051,2026-08-30,2026-08-30,NEFT RZP UTR20260000000052,3317808,0,17849923,UTR20260000000052
BANK-000052,2026-09-10,2026-09-10,NEFT/RZP/UTR20260000000053,3571274,0,72466594,UTR20260000000053
BANK-000053,2026-09-21,2026-09-21,NEFT RZP UTR20260000000054,778094,0,138598638,UTR20260000000054
BANK-000054,2026-09-12,2026-09-12,NEFT RZP UTR20260000000055,1435328,0,80265830,UTR20260000000055
BANK-000055,2026-09-08,2026-09-08,NEFT/RZP/UTR20260000000056,1073525,0,42494707,UTR20260000000056
BANK-000056,2026-09-20,2026-09-20,NEFT RZP UTR20260000000057,2791298,0,124154401,UTR20260000000057
BANK-000057,2026-09-24,2026-09-24,NEFT RZP UTR20260000000058,1730808,0,143544961,UTR20260000000058
BANK-000058,2026-08-18,2026-08-18,NEFT RZP UTR20260000000059,1932294,0,4432294,UTR20260000000059
BANK-000059,2026-10-03,2026-10-03,NEFT RZP UTR20260000000060,3287362,0,177791081,UTR20260000000060
BANK-000060,2026-10-05,2026-10-05,NEFT/RAZORPAY UTR20260000000061,3580457,0,184106654,UTR20260000000061
BANK-000061,2026-09-25,2026-09-25,NEFT RZP UTR20260000000062,5797324,0,156353993,UTR20260000000062
BANK-000062,2026-09-24,2026-09-24,NEFT RZP UTR20260000000063,1218842,0,144763803,UTR20260000000063
BANK-000063,2026-10-19,2026-10-19,NEFT RZP UTR20260000000064,2057687,0,226223761,UTR20260000000064
BANK-000064,2026-09-11,2026-09-11,NEFT RZP UTR20260000000065,880424,0,78830502,UTR20260000000065
BANK-000065,2026-09-10,2026-09-10,NEFT RZP UTR20260000000066,3468794,0,75935388,UTR20260000000066
BANK-000066,2026-09-25,2026-09-25,NEFT RZP UTR20260000000067,1672049,0,158026042,UTR20260000000067
BANK-000067,2026-10-08,2026-10-08,NEFT RZP UTR20260000000068,3050622,0,187914646,UTR20260000000068
BANK-000068,2026-09-08,2026-09-08,NEFT RZP UTR20260000000069,3963317,0,46458024,UTR20260000000069
BANK-000069,2026-09-08,2026-09-08,NEFT RZP UTR20260000000070,1986515,0,48444539,UTR20260000000070
BANK-000070,2026-09-30,2026-09-30,NEFT RZP UTR20260000000071,2596536,0,170206334,UTR20260000000071
BANK-000071,2026-10-01,2026-10-01,NEFT RZP UTR20260000000072,720657,0,172435668,UTR20260000000072
BANK-000072,2026-09-03,2026-09-03,NEFT RZP UTR20260000000073,2700567,0,34861655,UTR20260000000073
BANK-000073,2026-09-14,2026-09-14,NEFT RZP UTR20260000000074,7449996,0,99498234,UTR20260000000074
BANK-000074,2026-10-12,2026-10-12,NEFT/RZP/UTR20260000000075,4543568,0,213915815,UTR20260000000075
BANK-000075,2026-10-06,2026-10-06,NEFT RZP UTR20260000000076,757370,0,184864024,UTR20260000000076
BANK-000076,2026-09-07,2026-09-07,NEFT RZP UTR20260000000077,6559527,0,41421182,UTR20260000000077
BANK-000077,2026-08-25,2026-08-25,CLIENT TRANSFER UNKNOWN 1,18750,0,9940966,UNKNOWN1
BANK-000078,2026-08-26,2026-08-26,CLIENT TRANSFER UNKNOWN 2,12500,0,10287959,UNKNOWN2
BANK-000079,2026-08-27,2026-08-27,CLIENT TRANSFER UNKNOWN 3,24000,0,13736908,UNKNOWN3
BANK-000080,2026-08-27,2026-08-27,BANK SMS CHARGES,0,150,13736758,BANKFEE1
BANK-000081,2026-08-28,2026-08-28,BANK SMS CHARGES,0,150,14532115,BANKFEE2
