invoice_id,payment_id,settlement_id,bank_txn_id,relationship
INV-0001,pay_000001,setl_000051,BANK-000051,invoice_payment
INV-0002,pay_000002,setl_000013,BANK-000013,invoice_payment
INV-0003,pay_000003,setl_000033,BANK-000033,invoice_payment
INV-0004,pay_000004,setl_000039,BANK-000039,invoice_payment
INV-0005,pay_000005,setl_000048,BANK-000048,invoice_payment
INV-0006,pay_000006,setl_000043,BANK-000043,invoice_payment
INV-0007,pay_000007,setl_000029,BANK-000029,invoice_payment
INV-0007,pay_000008,setl_000011,BANK-000011,invoice_payment
INV-0008,pay_000009,setl_000042,BANK-000042,invoice_payment
INV-0009,pay_000010,setl_000031,BANK-000031,invoice_payment
INV-0010,pay_000011,setl_000019,BANK-000019,invoice_payment
INV-0011,pay_000012,setl_000011,BANK-000011,invoice_payment
INV-0012,pay_000013,setl_000016,BANK-000016,invoice_payment
INV-0013,pay_000014,setl_000034,BANK-000034,invoice_payment
INV-0014,pay_000015,setl_000010,BANK-000010,invoice_payment
INV-0015,pay_000016,setl_000076,BANK-000076,invoice_payment
INV-0016,pay_000017,setl_000010,BANK-000010,invoice_payment
INV-0018,pay_000018,setl_000038,BANK-000038,invoice_payment
INV-0019,pay_000019,setl_000009,BANK-000009,invoice_payment
INV-0019,pay_000020,setl_000038,BANK-000038,invoice_payment
INV-0020,pay_000021,setl_000007,BANK-000007,invoice_payment
INV-0022,pay_000022,setl_000028,BANK-000028,invoice_payment
INV-0023,pay_000023,setl_000036,BANK-000036,invoice_payment
INV-0024,pay_000024,setl_000014,BANK-000014,invoice_payment
INV-0025,pay_000025,setl_000019,BANK-000019,invoice_payment
INV-0026,pay_000026,setl_000073,BANK-000073,invoice_payment
INV-0027,pay_000027,setl_000002,BANK-000002,invoice_payment
INV-0028,pay_000028,setl_000073,BANK-000073,invoice_payment
INV-0028,pay_000029,setl_000026,BANK-000026,invoice_payment
INV-0029,pay_000030,setl_000074,BANK-000074,invoice_payment
INV-0030,pay_000031,setl_000015,BANK-000015,invoice_payment
INV-0031,pay_000032,setl_000052,BANK-000052,invoice_payment
INV-0031,pay_000033,setl_000028,BANK-000028,invoice_payment
INV-0032,pay_000034,setl_000063,BANK-000063,invoice_payment
INV-0032,pay_000035,setl_000017,BANK-000017,invoice_payment
INV-0033,pay_000036,setl_000053,BANK-000053,invoice_payment
INV-0034,pay_000037,setl_000060,BANK-000060,invoice_payment
INV-0034,pay_000038,setl_000024,BANK-000024,invoice_payment
INV-0035,pay_000039,setl_000026,BANK-000026,invoice_payment
INV-0036,pay_000040,setl_000056,BANK-000056,invoice_payment
INV-0037,pay_000041,setl_000069,BANK-000069,invoice_payment
INV-0038,pay_000042,setl_000004,BANK-000004,invoice_payment
INV-0039,pay_000043,setl_000032,BANK-000032,invoice_payment
INV-0041,pay_000044,setl_000042,BANK-000042,invoice_payment
INV-0043,pay_000045,setl_000072,BANK-000072,invoice_payment
INV-0044,pay_000046,setl_000048,BANK-000048,invoice_payment
INV-0045,pay_000047,setl_000052,BANK-000052,invoice_payment
INV-0046,pay_000048,setl_000068,BANK-000068,invoice_payment
INV-0047,pay_000049,setl_000010,BANK-000010,invoice_payment
INV-0048,pay_000050,setl_000067,BANK-000067,invoice_payment
INV-0050,pay_000051,setl_000016,BANK-000016,invoice_payment
INV-0051,pay_000052,setl_000074,BANK-000074,invoice_payment
INV-0051,pay_000053,setl_000061,BANK-000061,invoice_payment
INV-0052,pay_000054,setl_000023,BANK-000023,invoice_payment
INV-0053,pay_000055,setl_000073,BANK-000073,invoice_payment
INV-0055,pay_000056,setl_000053,BANK-000053,invoice_payment
INV-0056,pay_000057,setl_000046,BANK-000046,invoice_payment
INV-0056,pay_000058,setl_000063,BANK-000063,invoice_payment
INV-0057,pay_000059,setl_000055,BANK-000055,invoice_payment
INV-0058,pay_000060,setl_000021,BANK-000021,invoice_payment
INV-0059,pay_000061,setl_000025,BANK-000025,invoice_payment
INV-0060,pay_000062,setl_000006,BANK-000006,invoice_payment
INV-0061,pay_000063,setl_000036,BANK-000036,invoice_payment
INV-0062,pay_000064,setl_000003,BANK-000003,invoice_payment
INV-0063,pay_000065,setl_000043,BANK-000043,invoice_payment
INV-0064,pay_000066,setl_000062,BANK-000062,invoice_payment
INV-0065,pay_000067,setl_000030,BANK-000030,invoice_payment
INV-0066,pay_000068,setl_000068,BANK-000068,invoice_payment
INV-0067,pay_000069,setl_000043,BANK-000043,invoice_payment
INV-0068,pay_000070,setl_000042,BANK-000042,invoice_payment
INV-0069,pay_000071,setl_000041,BANK-000041,invoice_payment
INV-0070,pay_000072,setl_000052,BANK-000052,invoice_payment
INV-0071,pay_000073,setl_000074,BANK-000074,invoice_payment
INV-0072,pay_000074,setl_000066,BANK-000066,invoice_payment
INV-0073,pay_000075,setl_000032,BANK-000032,invoice_payment
INV-0074,pay_000076,setl_000051,BANK-000051,invoice_payment
INV-0074,pay_000077,setl_000051,BANK-000051,invoice_payment
INV-0075,pay_000078,setl_000031,BANK-000031,invoice_payment
INV-0076,pay_000079,setl_000043,BANK-000043,invoice_payment
INV-0077,pay_000080,setl_000034,BANK-000034,invoice_payment
INV-0078,pay_000081,setl_000019,BANK-000019,invoice_payment
INV-0079,pay_000082,setl_000058,BANK-000058,invoice_payment
INV-0080,pay_000083,setl_000009,BANK-000009,invoice_payment
INV-0081,pay_000084,setl_000017,BANK-000017,invoice_payment
INV-0082,pay_000085,setl_000032,BANK-000032,invoice_payment
INV-0083,pay_000086,setl_000003,BANK-000003,invoice_payment
INV-0084,pay_000087,setl_000015,BANK-000015,invoice_payment
INV-0085,pay_000088,setl_000062,BANK-000062,invoice_payment
INV-0086,pay_000089,setl_000056,BANK-000056,invoice_payment
INV-0087,pay_000090,setl_000013,BANK-000013,invoice_payment
INV-0088,pay_000091,setl_000054,BANK-000054,invoice_payment
INV-0088,pay_000092,setl_000072,BANK-000072,invoice_payment
INV-0089,pay_000093,setl_000041,BANK-000041,invoice_payment
INV-0090,pay_000094,setl_000065,BANK-000065,invoice_payment
INV-0091,pay_000095,setl_000025,BANK-000025,invoice_payment
INV-0092,pay_000096,setl_000040,BANK-000040,invoice_payment
INV-0093,pay_000097,setl_000044,BANK-000044,invoice_payment
INV-0094,pay_000098,setl_000021,BANK-000021,invoice_payment
INV-0096,pay_000099,setl_000023,BANK-000023,invoice_payment
INV-0097,pay_000100,setl_000020,BANK-000020,invoice_payment
INV-0099,pay_000101,setl_000050,BANK-000050,invoice_payment
INV-0100,pay_000102,setl_000070,BANK-000070,invoice_payment
INV-0101,pay_000103,setl_000021,BANK-000021,invoice_payment
INV-0103,pay_000104,setl_000015,BANK-000015,invoice_payment
INV-0104,pay_000105,setl_000076,BANK-000076,invoice_payment
INV-0105,pay_000106,setl_000049,BANK-000049,invoice_payment
INV-0106,pay_000107,setl_000058,BANK-000058,invoice_payment
INV-0106,pay_000108,setl_000032,BANK-000032,invoice_payment
INV-0107,pay_000109,setl_000044,BANK-000044,invoice_payment
INV-0108,pay_000110,setl_000017,BANK-000017,invoice_payment
INV-0109,pay_000111,setl_000012,BANK-000012,invoice_payment
INV-0110,pay_000112,setl_000052,BANK-000052,invoice_payment
INV-0111,pay_000113,setl_000023,BANK-000023,invoice_payment
INV-0112,pay_000114,setl_000017,BANK-000017,invoice_payment
INV-0113,pay_000115,setl_000066,BANK-000066,invoice_payment
INV-0114,pay_000116,setl_000040,BANK-000040,invoice_payment
INV-0115,pay_000117,setl_000033,BANK-000033,invoice_payment
INV-0116,pay_000118,setl_000076,BANK-000076,invoice_payment
INV-0117,pay_000119,setl_000066,BANK-000066,invoice_payment
INV-0119,pay_000120,setl_000006,BANK-000006,invoice_payment
INV-0120,pay_000121,setl_000056,BANK-000056,invoice_payment
INV-0121,pay_000122,setl_000039,BANK-000039,invoice_payment
INV-0122,pay_000123,setl_000059,BANK-000059,invoice_payment
INV-0124,pay_000124,setl_000005,BANK-000005,invoice_payment
INV-0126,pay_000125,setl_000059,BANK-000059,invoice_payment
INV-0127,pay_000126,setl_000005,BANK-000005,invoice_payment
INV-0129,pay_000127,setl_000024,BANK-000024,invoice_payment
INV-0130,pay_000128,setl_000014,BANK-000014,invoice_payment
INV-0130,pay_000129,setl_000007,BANK-000007,invoice_payment
INV-0131,pay_000130,setl_000028,BANK-000028,invoice_payment
INV-0132,pay_000131,setl_000011,BANK-000011,invoice_payment
INV-0133,pay_000132,setl_000033,BANK-000033,invoice_payment
INV-0134,pay_000133,setl_000065,BANK-000065,invoice_payment
INV-0135,pay_000134,setl_000074,BANK-000074,invoice_payment
INV-0136,pay_000135,setl_000006,BANK-000006,invoice_payment
INV-0137,pay_000136,setl_000025,BANK-000025,invoice_payment
INV-0137,pay_000137,setl_000034,BANK-000034,invoice_payment
INV-0138,pay_000138,setl_000039,BANK-000039,invoice_payment
INV-0139,pay_000139,setl_000035,BANK-000035,invoice_payment
INV-0140,pay_000140,setl_000014,BANK-000014,invoice_payment
INV-0141,pay_000141,setl_000019,BANK-000019,invoice_payment
INV-0142,pay_000142,setl_000016,BANK-000016,invoice_payment
INV-0143,pay_000143,setl_000001,BANK-000001,invoice_payment
INV-0144,pay_000144,setl_000037,BANK-000037,invoice_payment
INV-0145,pay_000145,setl_000075,BANK-000075,invoice_payment
INV-0146,pay_000146,setl_000021,BANK-000021,invoice_payment
INV-0147,pay_000147,setl_000033,BANK-000033,invoice_payment
INV-0148,pay_000148,setl_000043,BANK-000043,invoice_payment
INV-0150,pay_000149,setl_000035,BANK-000035,invoice_payment
INV-0152,pay_000150,setl_000050,BANK-000050,invoice_payment
INV-0153,pay_000151,setl_000047,BANK-000047,invoice_payment
INV-0154,pay_000152,setl_000026,BANK-000026,invoice_payment
INV-0155,pay_000153,setl_000031,BANK-000031,invoice_payment
INV-0156,pay_000154,setl_000049,BANK-000049,invoice_payment
INV-0157,pay_000155,setl_000060,BANK-000060,invoice_payment
