invoice_id,customer_id,customer_name,invoice_date,due_date,amount,currency,payment_terms_days,status
INV-0001,CUS-011,Kaveri Textiles,2026-07-08,2026-07-15,25000,INR,7,PAID
INV-0002,CUS-015,Vertex Components,2026-08-04,2026-08-11,33100,INR,7,PAID
INV-0003,CUS-009,Metro Office Systems,2026-08-08,2026-08-15,2285600,INR,7,PAID
INV-0004,CUS-010,Apex Digital Services,2026-07-18,2026-07-25,273100,INR,7,PAID
INV-0005,CUS-013,UrbanNest Interiors,2026-07-22,2026-07-29,139600,INR,7,PAID
INV-0006,CUS-013,UrbanNest Interiors,2026-07-03,2026-08-17,31700,INR,45,PAID
INV-0007,CUS-014,SilverOak Education,2026-08-10,2026-09-09,32700,INR,30,PAID
INV-0008,CUS-013,UrbanNest Interiors,2026-07-19,2026-07-26,141300,INR,7,PAID
INV-0009,CUS-014,SilverOak Education,2026-07-24,2026-08-08,27400,INR,15,PAID
INV-0010,CUS-003,Nova Technologies,2026-08-04,2026-08-19,63600,INR,15,PAID
INV-0011,CUS-014,SilverOak Education,2026-08-19,2026-08-26,1533600,INR,7,PAID
INV-0012,CUS-004,Vijay Traders,2026-08-28,2026-09-27,1796400,INR,30,PAID
INV-0013,CUS-003,Nova Technologies,2026-07-16,2026-08-15,2412100,INR,30,PAID
INV-0014,CUS-003,Nova Technologies,2026-08-02,2026-09-16,78600,INR,45,PAID
INV-0015,CUS-013,UrbanNest Interiors,2026-08-13,2026-09-27,1750400,INR,45,PAID
INV-0016,CUS-009,Metro Office Systems,2026-08-25,2026-09-01,462400,INR,7,PAID
INV-0017,CUS-006,GreenLeaf Distributors,2026-07-08,2026-08-07,285800,INR,30,UNPAID
INV-0018,CUS-013,UrbanNest Interiors,2026-07-12,2026-07-19,55200,INR,7,PAID
INV-0019,CUS-013,UrbanNest Interiors,2026-07-11,2026-07-18,33300,INR,7,PARTIAL
INV-0020,CUS-015,Vertex Components,2026-08-23,2026-09-22,24100,INR,30,PAID
INV-0021,CUS-008,Sunrise Health,2026-08-22,2026-08-29,920700,INR,7,UNPAID
INV-0022,CUS-003,Nova Technologies,2026-07-17,2026-08-31,320800,INR,45,PAID
INV-0023,CUS-011,Kaveri Textiles,2026-08-11,2026-09-10,29200,INR,30,PAID
INV-0024,CUS-002,Northstar Foods,2026-07-22,2026-07-29,68300,INR,7,PAID
INV-0025,CUS-012,Brightline Logistics,2026-08-10,2026-08-17,470800,INR,7,PAID
INV-0026,CUS-004,Vijay Traders,2026-07-18,2026-09-01,2371100,INR,45,PAID
INV-0027,CUS-008,Sunrise Health,2026-08-21,2026-10-05,139700,INR,45,PAID
INV-0028,CUS-008,Sunrise Health,2026-08-25,2026-09-01,698600,INR,7,PAID
INV-0029,CUS-013,UrbanNest Interiors,2026-08-25,2026-09-01,2257300,INR,7,PAID
INV-0030,CUS-003,Nova Technologies,2026-07-18,2026-09-01,747000,INR,45,PAID
INV-0031,CUS-014,SilverOak Education,2026-08-05,2026-08-12,19200,INR,7,PARTIAL
INV-0032,CUS-014,SilverOak Education,2026-07-16,2026-07-31,1200400,INR,15,PARTIAL
INV-0033,CUS-003,Nova Technologies,2026-07-25,2026-08-01,479500,INR,7,PAID
INV-0034,CUS-012,Brightline Logistics,2026-08-20,2026-10-04,21900,INR,45,PAID
INV-0035,CUS-009,Metro Office Systems,2026-07-04,2026-08-03,42500,INR,30,PAID
INV-0036,CUS-009,Metro Office Systems,2026-07-06,2026-07-21,1270700,INR,15,PAID
INV-0037,CUS-015,Vertex Components,2026-08-06,2026-08-21,768600,INR,15,PAID
INV-0038,CUS-010,Apex Digital Services,2026-08-03,2026-09-02,50400,INR,30,PAID
INV-0039,CUS-003,Nova Technologies,2026-08-12,2026-09-11,29700,INR,30,PAID
INV-0040,CUS-010,Apex Digital Services,2026-07-07,2026-07-14,50900,INR,7,UNPAID
INV-0041,CUS-015,Vertex Components,2026-07-05,2026-07-20,164600,INR,15,PAID
INV-0042,CUS-013,UrbanNest Interiors,2026-08-11,2026-08-18,35000,INR,7,UNPAID
INV-0043,CUS-003,Nova Technologies,2026-07-17,2026-07-24,326600,INR,7,PAID
INV-0044,CUS-004,Vijay Traders,2026-08-15,2026-09-14,1365000,INR,30,PAID
