payment_id,order_id,invoice_reference,payment_date,amount,currency,method,status,customer_name,description
pay_000001,order_0100002,INV-0001,2026-07-13,25000,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000002,order_0100003,INV-0002,2026-08-10,33100,INR,upi,captured,Vertex Components,Payment for Vertex Components
pay_000003,order_0100004,INV-0003,2026-08-18,2285600,INR,netbanking,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000004,order_0100005,INV-0004,2026-07-29,273100,INR,netbanking,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000005,order_0100006,0005,2026-08-02,139600,INR,card,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000006,order_0100007,INV-0006,2026-07-16,31700,INR,card,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000007,order_0100008,INV-0007,2026-08-25,18579,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000008,order_0100009,INV-0007,2026-08-12,14121,INR,upi,captured,SilverOak Education,Payment for SilverOak Education
pay_000009,order_0100010,INV-0008,2026-07-21,141300,INR,netbanking,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000010,order_0100011,INV-0009,2026-08-11,27400,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000011,order_0100012,INV-0010,2026-08-26,63600,INR,upi,captured,Nova Technologies,Payment for Nova Technologies
pay_000012,order_0100013,INV-0011,2026-08-23,1533600,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000013,order_0100014,INV-0012,2026-09-14,1796400,INR,upi,captured,Vijay Traders,Payment for Vijay Traders
pay_000014,order_0100015,INV-0013,2026-08-26,2412100,INR,card,captured,Nova Technologies,Payment for Nova Technologies
pay_000015,order_0100016,INV-0014,2026-09-14,78600,INR,netbanking,captured,Nova Technologies,Payment for Nova Technologies
pay_000016,order_0100017,INV-0015,2026-08-22,1750400,INR,upi,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000017,order_0100018,INV-0016,2026-08-29,462400,INR,upi,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000018,order_0100019,INV 0018,2026-07-21,55200,INR,upi,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000019,order_0100020,INV-0019,2026-07-25,14606,INR,card,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
