entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_000143,payment,0,435865,446400,INR,8928,1607,False,True,2026-07-21,2026-09-20,setl_000001,,default,Payment for Northstar Foods,pay_000143,UTR20260000000002,order_0100144,,card,Visa,SBIN,debit,
pay_000252,payment,0,1168835,1182792,INR,11828,2129,False,True,2026-08-12,2026-09-20,setl_000001,,default,Payment for Brightline Logistics,pay_000252,UTR20260000000002,order_0100253,,upi,,,,
pay_000462,payment,0,376402,385500,INR,7710,1388,False,True,2026-07-28,2026-09-20,setl_000001,,default,Payment for Northstar Foods,pay_000462,UTR20260000000002,order_0100463,,card,RuPay,AXIS,debit,
pay_000416,payment,0,196842,201600,INR,4032,726,False,True,2026-08-20,2026-09-20,setl_000001,,default,Payment for SilverOak Education,pay_000416,UTR20260000000002,order_0100417,,card,MasterCard,AXIS,credit,
pay_000225,payment,0,1612915,1651900,INR,33038,5947,False,True,2026-09-18,2026-09-20,setl_000001,,default,Payment for Apex Digital Services,pay_000225,UTR20260000000002,order_0100226,,netbanking,,,,
pay_000486,payment,0,21871,22400,INR,448,81,False,True,2026-07-19,2026-09-20,setl_000001,,default,Payment for Orion Manufacturing,pay_000486,UTR20260000000002,order_0100487,,card,Visa,AXIS,debit,
pay_000199,payment,0,643018,658560,INR,13171,2371,False,True,2026-07-25,2026-09-20,setl_000001,,default,Payment for Apex Digital Services,pay_000199,UTR20260000000002,order_0100200,,card,Visa,SBIN,debit,
pay_000352,payment,0,85630,87700,INR,1754,316,False,True,2026-07-30,2026-10-11,setl_000002,,default,Payment for UrbanNest Interiors,pay_000352,UTR20260000000003,order_0100353,,netbanking,,,,
pay_000324,payment,0,31050,31800,INR,636,114,False,True,2026-08-07,2026-10-11,setl_000002,,default,Payment for Metro Office Systems,pay_000324,UTR20260000000003,order_0100325,,netbanking,,,,
pay_000186,payment,0,1718269,1759800,INR,35196,6335,False,True,2026-08-30,2026-10-11,setl_000002,,default,Payment for SilverOak Education,pay_000186,UTR20260000000003,order_0100187,,netbanking,,,,
pay_000027,payment,0,138052,139700,INR,1397,251,False,True,2026-10-08,2026-10-11,setl_000002,,default,Payment for Sunrise Health,pay_000027,UTR20260000000003,order_0100028,,upi,,,,
pay_000210,payment,0,1831336,1875600,INR,37512,6752,False,True,2026-07-31,2026-10-11,setl_000002,,default,Payment for BluePeak Consulting,pay_000210,UTR20260000000003,order_0100211,,netbanking,,,,
pay_000217,payment,0,73816,75600,INR,1512,272,False,True,2026-08-04,2026-10-11,setl_000002,,default,Payment for Metro Office Systems,pay_000217,UTR20260000000003,order_0100218,,netbanking,,,,
pay_000161,payment,0,271557,274800,INR,2748,495,False,True,2026-08-26,2026-10-11,setl_000002,,default,Payment for Sunrise Health,pay_000161,UTR20260000000003,order_0100162,,upi,,,,
pay_000371,payment,0,47355,48500,INR,970,175,False,True,2026-09-08,2026-09-13,setl_000003,,default,Payment for Brightline Logistics,pay_000371,UTR20260000000004,order_0100372,,netbanking,,,,
pay_000086,payment,0,1599050,1637700,INR,32754,5896,False,True,2026-09-11,2026-09-13,setl_000003,,default,Payment for BluePeak Consulting,pay_000086,UTR20260000000004,order_0100087,,card,MasterCard,ICIC,debit,
