settlement_id,settlement_date,status,gross_amount,fees,tax,net_amount,currency,utr
setl_000001,2026-09-20,processed,4549152,79155,14249,4455748,INR,UTR20260000000002
setl_000002,2026-10-11,processed,4245000,80755,14535,4149710,INR,UTR20260000000003
setl_000003,2026-09-13,processed,5314200,106284,19132,5188784,INR,UTR20260000000004
setl_000004,2026-09-03,processed,3543141,70160,12628,3460353,INR,UTR20260000000005
setl_000005,2026-10-13,processed,998900,19694,3544,975662,INR,UTR20260000000006
setl_000006,2026-08-27,processed,810255,12499,2249,795507,INR,UTR20260000000007
setl_000007,2026-09-21,processed,3318024,66119,11901,3240004,INR,UTR20260000000008
setl_000008,2026-09-27,processed,3932100,71073,12794,3848233,INR,UTR20260000000009
setl_000009,2026-09-11,processed,2062485,40504,7291,2014690,INR,UTR20260000000010
setl_000010,2026-09-15,processed,2633155,45577,8203,2579375,INR,UTR20260000000011
setl_000011,2026-09-27,processed,2463659,47267,8508,2407884,INR,UTR20260000000012
setl_000012,2026-09-30,processed,1206288,23802,4284,1178202,INR,UTR20260000000013
setl_000013,2026-10-26,processed,1610321,17106,3079,1590136,INR,UTR20260000000014
setl_000014,2026-09-15,processed,1879746,37595,6767,1835384,INR,UTR20260000000015
setl_000015,2026-10-09,processed,2217700,42235,7603,2167862,INR,UTR20260000000016
setl_000016,2026-09-24,processed,4585300,50685,9124,4525491,INR,UTR20260000000017
setl_000017,2026-09-20,processed,6088223,99858,17974,5970391,INR,UTR20260000000018
setl_000018,2026-08-25,processed,341600,6023,1084,334493,INR,UTR20260000000019
setl_000019,2026-08-27,processed,3495254,59582,10723,3424949,INR,UTR20260000000020
setl_000020,2026-09-12,processed,2095600,41113,7401,2047086,INR,UTR20260000000021
setl_000021,2026-10-01,processed,2102500,29194,5255,2068051,INR,UTR20260000000022
setl_000022,2026-09-01,processed,2803607,44621,8032,2750954,INR,UTR20260000000023
setl_000023,2026-09-24,processed,1295200,23579,4246,1267375,INR,UTR20260000000024
setl_000024,2026-10-03,processed,2773593,32609,5868,2735116,INR,UTR20260000000025
setl_000025,2026-09-18,processed,3671720,72178,12992,3586550,INR,UTR20260000000026
setl_000026,2026-09-14,processed,1280364,24874,4478,1251012,INR,UTR20260000000027
setl_000027,2026-09-08,processed,7257125,118749,21375,7117001,INR,UTR20260000000028
setl_000028,2026-09-09,processed,3053206,53552,9640,2990014,INR,UTR20260000000029
setl_000029,2026-09-14,processed,2695879,53918,9704,2632257,INR,UTR20260000000030
setl_000030,2026-10-09,processed,1945106,34150,6148,1904808,INR,UTR20260000000031
setl_000031,2026-09-14,processed,676400,10704,1927,663769,INR,UTR20260000000032
setl_000032,2026-09-30,processed,337183,6744,1214,329225,INR,UTR20260000000033
setl_000033,2026-10-10,processed,5118800,102376,18428,4997996,INR,UTR20260000000034
setl_000034,2026-08-31,processed,5645439,112653,20277,5512509,INR,UTR20260000000035
setl_000035,2026-08-21,processed,5565430,63990,11518,5489922,INR,UTR20260000000036
setl_000036,2026-09-16,processed,3341200,54322,9778,3277100,INR,UTR20260000000037
setl_000037,2026-10-13,processed,4354000,86756,15615,4251629,INR,UTR20260000000038
setl_000038,2026-09-28,processed,3400588,61821,11128,3327639,INR,UTR20260000000039
setl_000039,2026-09-24,processed,3293000,65665,11820,3215515,INR,UTR20260000000040
setl_000040,2026-09-08,processed,6339747,124284,22370,6193093,INR,UTR20260000000041
setl_000041,2026-09-16,processed,3928000,64678,11642,3851680,INR,UTR20260000000042
setl_000042,2026-09-03,processed,2647898,51312,9237,2587349,INR,UTR20260000000043
setl_000043,2026-10-11,processed,5051732,78262,14086,4959384,INR,UTR20260000000044
setl_000044,2026-09-20,processed,2799755,50617,9111,2740027,INR,UTR20260000000045
setl_000045,2026-09-08,processed,1856030,36642,6595,1812793,INR,UTR20260000000046
setl_000046,2026-09-09,processed,2393480,47118,8482,2337880,INR,UTR20260000000047
setl_000047,2026-10-10,processed,3324256,39335,7080,3277841,INR,UTR20260000000048
setl_000048,2026-09-17,processed,3071202,37946,6831,3026425,INR,UTR20260000000049
setl_000049,2026-09-16,processed,988519,17111,3080,968328,INR,UTR20260000000050
setl_000050,2026-10-12,processed,5095790,61714,11108,5022968,INR,UTR20260000000051
setl_000051,2026-08-30,processed,3395703,66013,11882,3317808,INR,UTR20260000000052
